"probeID" "Entrez"
"1552904_at" "1552904_at" "NETO1"
"1552906_at" "1552906_at" "FMR1NB"
"1552908_at" "1552908_at" "C1orf150"
"1552910_at" "1552910_at" "SIGLEC11"
"1552911_at" "1552911_at" "SIGLEC11"
"1552912_a_at" "1552912_a_at" "IL23R"
"1552913_at" "1552913_at" "MAGEB18"
"1552914_a_at" "1552914_a_at" "CD276"
"1552915_at" "1552915_at" "IL28A"
"1552917_at" "1552917_at" "IL29"
"1552919_at" "1552919_at" "C4orf36"
"1552921_a_at" "1552921_a_at" "FIGNL1"
"1552922_at" "1552922_at" "RIMS1"
"1552923_a_at" "1552923_a_at" "PITPNM2"
"1552924_a_at" "1552924_a_at" "PITPNM2"
"1552925_at" "1552925_at" "PCDH10"
"1552927_at" "1552927_at" "TAB3"
"1552928_s_at" "1552928_s_at" "TAB3"
"1552929_at" "1552929_at" "GRK7"
"1552930_at" "1552930_at" "MMEL1"
"1552931_a_at" "1552931_a_at" "PDE8A"
"1552932_at" "1552932_at" "NLRP6"
"1552933_at" "1552933_at" "AKNAD1"
"1552935_at" "1552935_at" "ZCCHC5"
"1552937_s_at" "1552937_s_at" "ATRIP"
"1552938_at" "1552938_at" "ZIC5"
"1552939_at" "1552939_at" "ANGPT1"
"1552940_at" "1552940_at" "TEDDM1"
"1552942_at" "1552942_at" "FLJ30430"
"1552943_at" "1552943_at" "GABRG1"
"1552944_a_at" "1552944_a_at" "PANX2"
"1552946_at" "1552946_at" "ZNF114"
"1552947_x_at" "1552947_x_at" "ZNF114"
"1552948_at" "1552948_at" "CCDC27"
"1552950_at" "1552950_at" "C15orf26"
"1552952_at" "1552952_at" "RBMY2FP"
"1552953_a_at" "1552953_a_at" "NEUROD2"
"1552954_at" "1552954_at" "C5orf17"
"1552955_at" "1552955_at" NA
"1552957_at" "1552957_at" "DNAH6"
"1552960_at" "1552960_at" "LRRC15"
"1552961_at" "1552961_at" NA
"1552964_at" "1552964_at" "C10orf93"
"1552965_a_at" "1552965_a_at" "B3GNT7"
"1552967_at" "1552967_at" "ZNF645"
"1552969_a_at" "1552969_a_at" "ZMYM6"
"1552970_s_at" "1552970_s_at" "ZMYM6"
"1552971_at" "1552971_at" "SGCZ"
"1552972_at" "1552972_at" NA
"1552973_at" "1552973_at" "WNT9B"
"1552974_at" "1552974_at" NA
"1552975_x_at" "1552975_x_at" NA
"1552976_at" "1552976_at" "DNAJB13"
"1552977_a_at" "1552977_a_at" "CNPY3"
"1552978_a_at" "1552978_a_at" "SCAMP1"
"1552979_at" "1552979_at" "C2orf52"
"1552980_at" "1552980_at" "HAS3"
"1552982_a_at" "1552982_a_at" "FGF4"
"1552985_at" "1552985_at" "SLC30A8"
"1552986_at" "1552986_at" "LOC142937"
"1552987_a_at" "1552987_a_at" "MGC42157"
"1552988_at" "1552988_at" "C11orf65"
"1552990_at" "1552990_at" "FAM71E2"
"1552991_at" "1552991_at" "OR5P2"
"1552993_at" "1552993_at" "DYDC1"
"1552995_at" "1552995_at" "IL27"
"1552997_a_at" "1552997_a_at" "IQCF1"
"1552998_at" "1552998_at" "DEFB125"
"1552999_a_at" "1552999_a_at" "WFDC10B"
"1553002_at" "1553002_at" NA
"1553003_at" "1553003_at" "PKHD1"
"1553004_at" "1553004_at" "PKD1L1"
"1553006_at" "1553006_at" "GPR112"
"1553007_a_at" "1553007_a_at" "ODZ1"
"1553009_s_at" "1553009_s_at" "REXO1L1"
"1553011_at" "1553011_at" "TAF1L"
"1553013_at" "1553013_at" "CNTNAP5"
"1553015_a_at" "1553015_a_at" "RECQL4"
"1553016_at" "1553016_at" "GPR113"
"1553019_at" "1553019_at" "TMC2"
"1553020_at" "1553020_at" "SMCR5"
"1553021_s_at" "1553021_s_at" "BICD2"
"1553022_at" "1553022_at" "ZIM3"
"1553023_a_at" "1553023_a_at" "NOX5"
"1553024_at" "1553024_at" "G30"
"1553025_at" "1553025_at" "GPR126"
"1553027_a_at" "1553027_a_at" "KLHL4"
"1553028_at" "1553028_at" "GPR156"
"1553030_a_at" "1553030_a_at" "SUOX"
"1553031_at" "1553031_at" "GPR115"
"1553032_at" "1553032_at" "IL31RA"
"1553033_at" "1553033_at" "SYTL5"
"1553034_at" "1553034_at" "SDCCAG8"
"1553036_at" "1553036_at" "GPR111"
"1553037_a_at" "1553037_a_at" "SYN2"
"1553039_a_at" "1553039_a_at" "ASB10"
"1553041_at" "1553041_at" "HTR3C"
"1553042_a_at" "1553042_a_at" "NFKBID"
"1553043_a_at" "1553043_a_at" "CD300LF"
"1553044_at" "1553044_at" "GJA10"
"1553045_at" "1553045_at" "WNT9A"
"1553046_s_at" "1553046_s_at" "GAL3ST2"
"1553047_at" "1553047_at" "PIP4K2B"
"1553048_a_at" "1553048_a_at" "PIP4K2B"
"1553051_s_at" "1553051_s_at" "ODF3"
"1553052_at" "1553052_at" "WFDC13"
"1553053_at" "1553053_at" "C14orf48"
"1553055_a_at" "1553055_a_at" "SLFN5"
"1553057_at" "1553057_at" "SERPINB12"
"1553058_at" "1553058_at" "GIPC3"
"1553059_at" "1553059_at" "PGLYRP3"
"1553060_at" "1553060_at" "PSKH2"
"1553061_at" "1553061_at" "OR6W1P"
"1553062_at" "1553062_at" "MOGAT1"
"1553063_at" "1553063_at" "GPR78"
"1553064_at" "1553064_at" "H1FOO"
"1553066_at" "1553066_at" "TAAR9"
"1553067_a_at" "1553067_a_at" "GNRHR2"
"1553069_at" "1553069_at" "C21orf87"
"1553070_a_at" "1553070_a_at" "MYOZ3"
"1553071_a_at" "1553071_a_at" "MYOZ3"
"1553072_at" "1553072_at" "BNIPL"
"1553074_at" "1553074_at" "ASB11"
"1553075_a_at" "1553075_a_at" "OFCC1"
"1553076_at" "1553076_at" "OFCC1"
"1553077_at" "1553077_at" "SDR9C7"
"1553078_at" "1553078_at" "OR5P3"
"1553079_at" "1553079_at" "TRIM40"
"1553080_at" "1553080_at" "CSN1S2A"
