"probeID" "Entrez"
"3360594" "3360594" NA
"3840632" "3840632" "ACSM3"
"6580735" "6580735" "ACSM3"
"5290131" "5290131" "DYNC1LI2"
"5050594" "5050594" NA
"7330326" "7330326" NA
"4120026" "4120026" "LOC653050"
"990390" "990390" "HINFP"
"4120692" "4120692" "LUZP2"
"5550433" "5550433" "LOC648615"
"6660685" "6660685" NA
"4760196" "4760196" NA
"6110544" "6110544" NA
"2690500" "2690500" "ADRA1A"
"7550348" "7550348" "NUP188"
"6860435" "6860435" NA
"1070626" "1070626" "LOC650528"
"3830528" "3830528" "ZNF167"
"6420114" "6420114" "MAST1"
"7650446" "7650446" NA
"3840368" "3840368" "LOC645535"
"1990196" "1990196" "DACT3"
"240546" "240546" "SCAND1"
"1770692" "1770692" "LOC729744"
"5900040" "5900040" "LOC729744"
"540307" "540307" "LOC729744"
"3180168" "3180168" "LOC646764"
"3370040" "3370040" NA
"6510592" "6510592" NA
"4200168" "4200168" NA
"3850739" "3850739" "LOC139116"
"6420722" "6420722" "GANC"
"7330008" "7330008" "RPS6KL1"
"1780768" "1780768" NA
"2100349" "2100349" NA
"2190703" "2190703" "LOC729444"
"2360347" "2360347" "LOC729444"
"5130242" "5130242" "LOC729444"
"540288" "540288" "TMEM88"
"1400647" "1400647" NA
"240112" "240112" "LOC649030"
"1340484" "1340484" NA
"6180327" "6180327" "LOC651131"
"5360392" "5360392" "TP53INP2"
"1010398" "1010398" NA
"4830167" "4830167" "CACNG6"
"5270487" "5270487" "LOC643012"
"2470458" "2470458" "MICAL1"
"1110056" "1110056" NA
"3400202" "3400202" "GPATCH1"
"4120148" "4120148" NA
"6620435" "6620435" "IMPACT"
"840390" "840390" NA
"4670753" "4670753" "ARHGAP28"
"50215" "50215" "ARHGAP28"
"4560753" "4560753" "CFHR3"
"2060528" "2060528" "LOC649604"
"290450" "290450" "ANKRD5"
"6760133" "6760133" "PRMT3"
"3440477" "3440477" NA
"4900687" "4900687" "BTBD3"
"4230730" "4230730" "STON1"
"1660114" "1660114" "LOC650861"
"380523" "380523" "PDLIM5"
"110010" "110010" "RAB27A"
"3930343" "3930343" "ALOX5AP"
"5290221" "5290221" NA
"1240470" "1240470" "ADAMTS13"
"6450239" "6450239" "FLJ14186"
"160390" "160390" "NCDN"
"6350280" "6350280" "LOC647993"
"240167" "240167" "CHR415SYT"
"1820538" "1820538" "RDBP"
"3170112" "3170112" "TRAK2"
"3870370" "3870370" "RIOK1"
"6900450" "6900450" "QDPR"
"450435" "450435" "LOC641518"
"5090148" "5090148" "LOC641518"
"5700725" "5700725" "EPSTI1"
"4390703" "4390703" "PTPN1"
"3830022" "3830022" "APOM"
"6940646" "6940646" "LCN12"
"5810358" "5810358" NA
"5340446" "5340446" NA
"1070603" "1070603" "GNAI1"
"4260528" "4260528" "GNAI1"
"730630" "730630" "PRRG3"
"780187" "780187" "C6orf130"
"5910288" "5910288" "INSC"
"6650373" "6650373" "INSC"
"3710008" "3710008" NA
"770411" "770411" "PHF15"
"940196" "940196" NA
"2360224" "2360224" "LOC651115"
"840373" "840373" NA
"1050091" "1050091" "SOX5"
"4070671" "4070671" "SOX5"
"940639" "940639" "ERP27"
"2470465" "2470465" "TRAF2"
"6770280" "6770280" "LOC646036"
"510021" "510021" "SSX6"
"4050382" "4050382" "CCDC109A"
"5700279" "5700279" "PRIM2"
"1450717" "1450717" "PRR17"
"6350301" "6350301" "LOC728554"
"670192" "670192" "LOC728554"
"1430093" "1430093" "LOC728554"
"290291" "290291" "LOC651126"
"520746" "520746" "C17orf46"
"4490424" "4490424" "TKTL2"
"5390561" "5390561" "UNC50"
"5700092" "5700092" NA
"6450520" "6450520" NA
"2190451" "2190451" NA
"6560255" "6560255" "EPB41L1"
"1470142" "1470142" NA
"130669" "130669" "BAG5"
"2120189" "2120189" NA
"4850524" "4850524" "LGI1"
"4150068" "4150068" "LGI1"
"4590133" "4590133" "AFAP1L2"
"2350315" "2350315" "DCTN1"
"5900577" "5900577" "ZNF167"
"2480564" "2480564" "ZNF167"
"5090414" "5090414" "MRPL40"
"50097" "50097" "FSCN2"
"1570086" "1570086" "B3GNTL1"
"510546" "510546" "PRSS22"
"6100142" "6100142" "LOC642629"
"2710575" "2710575" "CD69"
"2070110" "2070110" NA
"4050215" "4050215" NA
"630437" "630437" "AGPAT1"
"6100259" "6100259" "VSNL1"
"4390386" "4390386" "LOC653219"
"1340176" "1340176" "C20orf197"
"4010377" "4010377" "TBCD"
"5090543" "5090543" "TBCD"
"240433" "240433" "XKR9"
"1990440" "1990440" "PFN4"
"1300347" "1300347" "MKNK2"
"5820753" "5820753" "RBCK1"
"4070092" "4070092" "LOC645320"
"2810687" "2810687" "LRRC14"
"620673" "620673" NA
"6270328" "6270328" "THAP2"
"1510397" "1510397" "LOC645307"
"3450189" "3450189" "HOXA13"
"20754" "20754" NA
"5960056" "5960056" NA
"5080164" "5080164" NA
"5050224" "5050224" "PLA2G4E"
"6380431" "6380431" "RXRB"
"5810711" "5810711" "SERPINA2"
"5220452" "5220452" "SYNC1"
"1070128" "1070128" "HSFY2"
"4880564" "4880564" "HSFY2"
"4120477" "4120477" "HSFY2"
"1300152" "1300152" "HSFY2"
"240273" "240273" "HSFY2"
"610563" "610563" "HOXA6"
"1510722" "1510722" "RNF130"
"3850156" "3850156" NA
"1990201" "1990201" NA
"3170612" "3170612" "LOC649041"
"5340592" "5340592" "HISPPD2A"
"5490646" "5490646" "DMAP1"
"7150176" "7150176" "MAT2A"
"7320494" "7320494" "ZFPM1"
"2230292" "2230292" NA
"2350403" "2350403" NA
"840544" "840544" "RBM4"
"520243" "520243" "RBM4"
"3290291" "3290291" "SLBP"
"4280603" "4280603" "SLBP"
"2230068" "2230068" "ARPC4"
"2600102" "2600102" NA
"70408" "70408" NA
"2120202" "2120202" "RNF152"
"870730" "870730" NA
"2900692" "2900692" "GSG2"
"1820274" "1820274" "HERC1"
"5390661" "5390661" "VLDLR"
"2510110" "2510110" NA
"6450435" "6450435" "LOC652054"
"1570273" "1570273" "NEDD4L"
"5890220" "5890220" "LINS1"
"6280474" "6280474" "RB1"
"3840671" "3840671" "FAM81B"
"7380092" "7380092" "EGFLAM"
"1230609" "1230609" "CSAG3A"
"4010095" "4010095" "CSAG3A"
"1030681" "1030681" NA
"6550333" "6550333" "CXCR6"
"5810750" "5810750" "CBR4"
"5570520" "5570520" "RRAD"
"7200639" "7200639" "RRAD"
"1260605" "1260605" "EYA1"
"5290286" "5290286" NA
"4180279" "4180279" "THAP1"
"3800575" "3800575" "DVL1"
"5960609" "5960609" "DVL1"
"4570291" "4570291" NA
"380072" "380072" "LOC645871"
"5670291" "5670291" "KIR2DS1"
"580386" "580386" "GTF3C6"
"4200110" "4200110" "GTF3C6"
"870575" "870575" "PKNOX2"
"150482" "150482" "SLITRK2"
"7160504" "7160504" "GPC1"
"4570270" "4570270" "OR5K4"
"6840044" "6840044" "SREBF1"
"2350082" "2350082" NA
"4490561" "4490561" NA
"5820500" "5820500" "C1orf35"
"1740131" "1740131" "HAO1"
"7610403" "7610403" "HAO1"
"3830458" "3830458" NA
"650129" "650129" NA
"4390661" "4390661" "DDX51"
"7550189" "7550189" NA
"7160180" "7160180" "UCHL3"
"3290437" "3290437" "IFLTD1"
"830519" "830519" "IL5RA"
"2000162" "2000162" "C5orf20"
"6620253" "6620253" "LOC646667"
"6180376" "6180376" "LRRC10"
"4610162" "4610162" "RANBP2L1"
"240397" "240397" NA
"130731" "130731" NA
"5490619" "5490619" "GJA3"
"1580128" "1580128" "GJA3"
"4590577" "4590577" "ATP8A2"
"6020692" "6020692" NA
"110544" "110544" NA
"7510576" "7510576" NA
"1030427" "1030427" "CUTA"
"5130070" "5130070" "KIAA1751"
"6590408" "6590408" "SNORD26"
"2370088" "2370088" "IL22RA2"
