"Ensembl" "Entrez"
"24329" "ENSG00000236500" "CD24P1"
"24332" "ENSG00000197312" "DDI2"
"24399" "ENSG00000215695" "RSC1A1"
"24405" "ENSG00000271742" "RP4-680D5.9"
"24408" "ENSG00000116786" "PLEKHM2"
"24511" "ENSG00000237938" "RP11-288I21.1"
"24527" "ENSG00000162461" "SLC25A34"
"24551" "ENSG00000224459" "RP11-169K16.4"
"24555" "ENSG00000162460" "TMEM82"
"24577" "ENSG00000162458" "FBLIM1"
"24766" "ENSG00000224321" "RPL12P14"
"24769" "ENSG00000233954" "UQCRHL"
"24777" "ENSG00000178715" "RP11-169K16.8"
"24780" "ENSG00000179743" "FLJ37453"
"24784" "ENSG00000065526" "SPEN"
"24852" "ENSG00000270620" "RP1-134O19.3"
"24855" "ENSG00000116809" "ZBTB17"
"25036" "ENSG00000234607" "RP11-5P18.1"
"25039" "ENSG00000231353" "RP11-5P18.3"
"25042" "ENSG00000275503" "RP11-5P18.11"
"25045" "ENSG00000224966" "TBC1D3P6"
"25055" "ENSG00000183888" "C1orf64"
"25065" "ENSG00000233078" "RP11-5P18.5"
"25069" "ENSG00000173641" "HSPB7"
"25139" "ENSG00000186510" "CLCNKA"
"25320" "ENSG00000232456" "RP11-5P18.10"
"25327" "ENSG00000184908" "CLCNKB"
"25449" "ENSG00000185519" "FAM131C"
"25476" "ENSG00000142627" "EPHA2"
"25529" "ENSG00000227959" "RP11-276H7.2"
"25533" "ENSG00000224621" "RP11-276H7.3"
"25537" "ENSG00000234166" "ARHGEF19-AS1"
"25541" "ENSG00000142632" "ARHGEF19"
"25621" "ENSG00000237276" "ANO7L1"
"25647" "ENSG00000132881" "RSG1"
"25672" "ENSG00000233929" "MT1XP1"
"25675" "ENSG00000037637" "FBXO42"
"25725" "ENSG00000055070" "SZRD1"
"25813" "ENSG00000226457" "RP11-430L17.1"
"25816" "ENSG00000187144" "SPATA21"
"25932" "ENSG00000157191" "NECAP2"
"26109" "ENSG00000226029" "RP4-798A10.2"
"26113" "ENSG00000080947" "CROCCP3"
"26170" "ENSG00000206652" "RNU1-1"
"26173" "ENSG00000261135" "RP4-798A10.7"
"26176" "ENSG00000224174" "RP4-798A10.4"
"26180" "ENSG00000233421" "RP5-875O13.1"
"26187" "ENSG00000277344" "RNU1-6P"
"26190" "ENSG00000268991" "FAM231B"
"26196" "ENSG00000225710" "RP5-875O13.6"
"26201" "ENSG00000219481" "NBPF1"
"26384" "ENSG00000271732" "RP5-1182A14.5"
"26387" "ENSG00000215908" "CROCCP2"
"26419" "ENSG00000186301" "MST1P2"
"26439" "ENSG00000282143" "RP1-163M9.8"
"26444" "ENSG00000207513" "RNU1-3"
"26447" "ENSG00000237847" "FAM231A"
"26453" "ENSG00000280114" "RP5-875O13.7"
"26460" "ENSG00000236698" "EIF1AXP1"
"26463" "ENSG00000268869" "ESPNP"
"26484" "ENSG00000279151" "RP1-163M9.7"
"26489" "ENSG00000279132" "FAM231C"
