"probeID" "Entrez"
"764" "764" ""
"765" "765" ""
"766" "766" ""
"767" "767" ""
"768" "768" ""
"769" "769" ""
"770" "770" ""
"771" "771" ""
"772" "772" "PROSER3"
"773" "773" "HMGN1"
"774" "774" "PCBP1-AS1"
"775" "775" ""
"776" "776" "YAF2"
"777" "777" ""
"778" "778" "ZNF789"
"779" "779" "LOC284112"
"780" "780" "PCDHB10"
"781" "781" "RAF1"
"782" "782" "PYCR2"
"783" "783" "KIAA1045"
"784" "784" "CREB3L1"
"785" "785" "PASD1"
"786" "786" "KSR2"
"787" "787" "CHRDL1"
"788" "788" ""
"789" "789" "ADCY10"
"790" "790" ""
"791" "791" "ZNF598"
"792" "792" "TF"
"793" "793" "THAP5"
"794" "794" "UCHL5"
"795" "795" "BACH1"
"796" "796" ""
"797" "797" "GPR31"
"798" "798" "ZNF419"
"799" "799" "LRRTM4"
"800" "800" "HFE"
"801" "801" "DSP"
"802" "802" "EDN1"
"803" "803" "PAF1"
"804" "804" "CACNA1B"
"805" "805" "UGT3A2"
"806" "806" "FEZ2"
"807" "807" "RTP3"
"808" "808" "SART3"
"809" "809" "LUZP1"
"810" "810" "IFIT2"
"811" "811" "SAFB2"
"812" "812" "RPL7L1"
"813" "813" "TRIM10"
"814" "814" "ATP6V1C1"
"815" "815" "SPAG11B"
"816" "816" "VWF"
"817" "817" ""
"818" "818" ""
"819" "819" "MGC70870"
"820" "820" "TRIM2"
"821" "821" "CCDC74B"
"822" "822" ""
"823" "823" ""
"824" "824" ""
"825" "825" "PAXBP1"
"826" "826" "RBAKDN"
"827" "827" "DNASE1"
"828" "828" ""
"829" "829" ""
"830" "830" ""
"831" "831" ""
"832" "832" ""
"833" "833" "KRT77"
"834" "834" "TXNDC2"
"835" "835" "ZNF688"
"836" "836" ""
"837" "837" "TMEM179B"
"838" "838" "LOXL4"
"839" "839" "RSPO2"
"840" "840" "FGF2"
"841" "841" ""
"842" "842" ""
"843" "843" "SLC15A1"
"844" "844" "RAB42"
"845" "845" ""
"846" "846" ""
"847" "847" ""
"848" "848" ""
"849" "849" ""
"850" "850" ""
"851" "851" ""
"852" "852" ""
"853" "853" ""
"854" "854" ""
"855" "855" ""
"856" "856" ""
"857" "857" "ZNF467"
"858" "858" "MARVELD3"
"859" "859" ""
"860" "860" ""
"861" "861" "GALK2"
"862" "862" "ISCA1"
"863" "863" "CNTNAP2"
"864" "864" "OR5I1"
"865" "865" ""
"866" "866" "FAM170A"
"867" "867" "OR7C2"
"868" "868" ""
"869" "869" "ZNF254"
"870" "870" "ANKRD34B"
"871" "871" "MACF1"
"872" "872" "UBE2B"
"873" "873" "C12orf42"
"874" "874" ""
"875" "875" "TMEM139"
"876" "876" "ING5"
"877" "877" "POGK"
"878" "878" "KRT80"
"879" "879" "PLK4"
"880" "880" ""
"881" "881" "HIRIP3"
"882" "882" "SMIM6"
"883" "883" "COX4I2"
"884" "884" "FGF2"
"885" "885" ""
"886" "886" "APOD"
"887" "887" "TTLL3"
"888" "888" "FABP3"
"889" "889" ""
"890" "890" ""
"891" "891" "GAPDH"
"892" "892" "SIK3"
"893" "893" ""
"894" "894" ""
"895" "895" "NBAS"
"896" "896" "PITPNA"
"897" "897" "UTP14C"
"898" "898" "NDUFV2"
"899" "899" "ZNF512"
"900" "900" "SCLY"
"901" "901" "LCP2"
"902" "902" "SRP9"
"903" "903" ""
"904" "904" ""
"905" "905" "GPAA1"
"906" "906" "MARCH6"
"907" "907" "HIVEP2"
"908" "908" ""
"909" "909" "UPK1A"
"910" "910" ""
"911" "911" "RNF112"
"912" "912" ""
"913" "913" "DGAT2"
"914" "914" ""
"915" "915" ""
"916" "916" ""
"917" "917" ""
"918" "918" "C6orf58"
"919" "919" "LOC100130078"
"920" "920" "EIF3L"
"921" "921" "GLRA2"
"922" "922" "TRIM29"
"923" "923" "ATP1A3"
"924" "924" ""
"925" "925" "VDAC3"
"926" "926" "SPDL1"
"927" "927" "SCYL1"
"928" "928" "NEK6"
"929" "929" ""
"930" "930" ""
"931" "931" ""
"932" "932" ""
"933" "933" ""
"934" "934" ""
"935" "935" ""
"936" "936" ""
"937" "937" ""
"938" "938" ""
"939" "939" ""
"940" "940" ""
"941" "941" ""
"942" "942" "GJA3"
"943" "943" "WDR66"
"944" "944" "CCDC77"
"945" "945" "KMT2A"
"946" "946" "FANCA"
"947" "947" "TMEM242"
"948" "948" "SLC7A2"
"949" "949" ""
"950" "950" "CCDC113"
"951" "951" "PSTPIP1"
"952" "952" "TSSC1"
"953" "953" "TENM4"
"954" "954" "RBM22"
"955" "955" "SCAMP1"
"956" "956" "PKN2"
"957" "957" ""
"958" "958" "YWHAZ"
"959" "959" "LRRC40"
"960" "960" "PPP6C"
"961" "961" ""
"962" "962" ""
"963" "963" "ZNF131"
"964" "964" "GJB1"
"965" "965" "NETO1"
"966" "966" ""
"967" "967" ""
"968" "968" "HRC"
"969" "969" "RAB12"
"970" "970" "PCGF3"
"971" "971" "GABARAPL2"
"972" "972" "SPC25"
"973" "973" "THAP9"
"974" "974" "GTF2E1"
"975" "975" "IGKC"
"976" "976" "EXO1"
"977" "977" ""
"978" "978" ""
"979" "979" "NELL1"
"980" "980" "RAD54B"
"981" "981" ""
"982" "982" ""
"983" "983" "ZFHX4"
"984" "984" "PPP1CA"
"985" "985" "SECTM1"
"986" "986" "TMEM107"
"987" "987" "ZNF195"
"988" "988" ""
"989" "989" "METTL21C"
"990" "990" "EDN3"
"991" "991" "TTR"
"992" "992" "RSU1"
"993" "993" "ABCB7"
"994" "994" "WDR24"
"995" "995" "POF1B"
"996" "996" "FOXO3"
"997" "997" "SMAP2"
"998" "998" "TMEM222"
"999" "999" "PSG2"
"1000" "1000" ""
"1001" "1001" "CDKN1B"
"1002" "1002" ""
"1003" "1003" "NOXO1"
"1004" "1004" ""
"1005" "1005" "WNT9B"
"1006" "1006" "SLC4A3"
"1007" "1007" "SPATA9"
"1008" "1008" "MYLIP"
"1009" "1009" ""
"1010" "1010" ""
"1011" "1011" "STON2"
"1012" "1012" "FCN1"
"1013" "1013" "LOC220729"
"1014" "1014" "AASDH"
"1015" "1015" ""
"1016" "1016" ""
"1017" "1017" ""
"1018" "1018" ""
"1019" "1019" ""
"1020" "1020" ""
"1021" "1021" ""
"1022" "1022" ""
"1023" "1023" ""
"1024" "1024" ""
"1025" "1025" ""
"1026" "1026" ""
"1027" "1027" ""
"1028" "1028" "RASL11B"
"1029" "1029" "DECR2"
"1030" "1030" "NBPF22P"
"1031" "1031" "PLCG1"
"1032" "1032" "RET"
"1033" "1033" ""
"1034" "1034" "KRAS"
"1035" "1035" "ENDOU"
"1036" "1036" "RGSL1"
"1037" "1037" "COX7A2L"
"1038" "1038" ""
"1039" "1039" "NUP43"
"1040" "1040" "WWC2"
"1041" "1041" ""
"1042" "1042" "KPNA6"
"1043" "1043" ""
